TR=1.5
frate=60.0
sequence=['rest', 'move', 'rest', 'move', 'rest', 'move', 'rest', 'move', 'rest', 'move', 'rest']
block_trs=[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 4]
instruction_trs=4
initial_fixation_trs=4
trigger_mode=cedrus
Waiting for Cedrus MRI trigger, port=2
MRI_TRIGGER time=54.129528 raw={'port': 2, 'key': 4, 'pressed': True, 'time': 39329}
START_TRIGGER mode=cedrus
EXPERIMENT_START time=0.000000
PERIOD_BEGIN name=initial_fixation block_type=fixation TRs=4 frames=360
MRI_TRIGGER time=0.000651 raw={'port': 2, 'key': 4, 'pressed': False, 'time': 39334}
FRAME frame=0 time=0.006556 period=initial_fixation block_type=fixation TR=0
FRAME frame=1 time=0.012089 period=initial_fixation block_type=fixation TR=0
FRAME frame=2 time=0.015651 period=initial_fixation block_type=fixation TR=0
FRAME frame=3 time=0.032574 period=initial_fixation block_type=fixation TR=0
FRAME frame=4 time=0.049100 period=initial_fixation block_type=fixation TR=0
FRAME frame=5 time=0.066039 period=initial_fixation block_type=fixation TR=0
FRAME frame=6 time=0.083654 period=initial_fixation block_type=fixation TR=0
FRAME frame=7 time=0.100022 period=initial_fixation block_type=fixation TR=0
FRAME frame=8 time=0.116875 period=initial_fixation block_type=fixation TR=0
FRAME frame=9 time=0.132900 period=initial_fixation block_type=fixation TR=0
FRAME frame=10 time=0.148567 period=initial_fixation block_type=fixation TR=0
FRAME frame=11 time=0.165831 period=initial_fixation block_type=fixation TR=0
FRAME frame=12 time=0.183225 period=initial_fixation block_type=fixation TR=0
FRAME frame=13 time=0.201626 period=initial_fixation block_type=fixation TR=0
FRAME frame=14 time=0.216988 period=initial_fixation block_type=fixation TR=0
FRAME frame=15 time=0.232797 period=initial_fixation block_type=fixation TR=0
FRAME frame=16 time=0.249712 period=initial_fixation block_type=fixation TR=0
FRAME frame=17 time=0.266471 period=initial_fixation block_type=fixation TR=0
FRAME frame=18 time=0.284379 period=initial_fixation block_type=fixation TR=0
FRAME frame=19 time=0.299262 period=initial_fixation block_type=fixation TR=0
FRAME frame=20 time=0.316308 period=initial_fixation block_type=fixation TR=0
FRAME frame=21 time=0.332797 period=initial_fixation block_type=fixation TR=0
FRAME frame=22 time=0.350896 period=initial_fixation block_type=fixation TR=0
FRAME frame=23 time=0.367471 period=initial_fixation block_type=fixation TR=0
FRAME frame=24 time=0.383251 period=initial_fixation block_type=fixation TR=0
FRAME frame=25 time=0.399780 period=initial_fixation block_type=fixation TR=0
FRAME frame=26 time=0.416539 period=initial_fixation block_type=fixation TR=0
FRAME frame=27 time=0.432145 period=initial_fixation block_type=fixation TR=0
FRAME frame=28 time=0.449584 period=initial_fixation block_type=fixation TR=0
FRAME frame=29 time=0.466029 period=initial_fixation block_type=fixation TR=0
FRAME frame=30 time=0.484547 period=initial_fixation block_type=fixation TR=0
FRAME frame=31 time=0.501179 period=initial_fixation block_type=fixation TR=0
FRAME frame=32 time=0.515951 period=initial_fixation block_type=fixation TR=0
FRAME frame=33 time=0.533977 period=initial_fixation block_type=fixation TR=0
FRAME frame=34 time=0.550626 period=initial_fixation block_type=fixation TR=0
FRAME frame=35 time=0.566602 period=initial_fixation block_type=fixation TR=0
FRAME frame=36 time=0.584392 period=initial_fixation block_type=fixation TR=0
FRAME frame=37 time=0.600169 period=initial_fixation block_type=fixation TR=0
