TR=1.0
frate=60.0
sequence=['rest', 'move', 'rest', 'move', 'rest']
block_trs=[10, 10, 10, 10, 10]
instruction_trs=5
initial_fixation_trs=5
trigger_mode=kbd
START_TRIGGER mode=kbd
EXPERIMENT_START time=0.000000
PERIOD_BEGIN name=initial_fixation block_type=fixation TRs=5 frames=300
FRAME frame=0 time=0.003063 period=initial_fixation block_type=fixation TR=0
FRAME frame=1 time=0.005781 period=initial_fixation block_type=fixation TR=0
FRAME frame=2 time=0.013021 period=initial_fixation block_type=fixation TR=0
FRAME frame=3 time=0.030727 period=initial_fixation block_type=fixation TR=0
FRAME frame=4 time=0.047691 period=initial_fixation block_type=fixation TR=0
FRAME frame=5 time=0.065458 period=initial_fixation block_type=fixation TR=0
FRAME frame=6 time=0.081366 period=initial_fixation block_type=fixation TR=0
FRAME frame=7 time=0.097904 period=initial_fixation block_type=fixation TR=0
FRAME frame=8 time=0.114484 period=initial_fixation block_type=fixation TR=0
FRAME frame=9 time=0.131335 period=initial_fixation block_type=fixation TR=0
FRAME frame=10 time=0.148098 period=initial_fixation block_type=fixation TR=0
FRAME frame=11 time=0.164354 period=initial_fixation block_type=fixation TR=0
FRAME frame=12 time=0.181338 period=initial_fixation block_type=fixation TR=0
FRAME frame=13 time=0.197723 period=initial_fixation block_type=fixation TR=0
FRAME frame=14 time=0.214486 period=initial_fixation block_type=fixation TR=0
FRAME frame=15 time=0.248565 period=initial_fixation block_type=fixation TR=0
FRAME frame=16 time=0.264102 period=initial_fixation block_type=fixation TR=0
FRAME frame=17 time=0.280768 period=initial_fixation block_type=fixation TR=0
FRAME frame=18 time=0.297585 period=initial_fixation block_type=fixation TR=0
FRAME frame=19 time=0.314612 period=initial_fixation block_type=fixation TR=0
FRAME frame=20 time=0.330792 period=initial_fixation block_type=fixation TR=0
FRAME frame=21 time=0.347478 period=initial_fixation block_type=fixation TR=0
FRAME frame=22 time=0.364576 period=initial_fixation block_type=fixation TR=0
FRAME frame=23 time=0.380863 period=initial_fixation block_type=fixation TR=0
FRAME frame=24 time=0.398317 period=initial_fixation block_type=fixation TR=0
FRAME frame=25 time=0.415026 period=initial_fixation block_type=fixation TR=0
FRAME frame=26 time=0.432899 period=initial_fixation block_type=fixation TR=0
FRAME frame=27 time=0.448462 period=initial_fixation block_type=fixation TR=0
FRAME frame=28 time=0.464854 period=initial_fixation block_type=fixation TR=0
FRAME frame=29 time=0.481689 period=initial_fixation block_type=fixation TR=0
FRAME frame=30 time=0.498100 period=initial_fixation block_type=fixation TR=0
FRAME frame=31 time=0.514710 period=initial_fixation block_type=fixation TR=0
FRAME frame=32 time=0.531446 period=initial_fixation block_type=fixation TR=0
FRAME frame=33 time=0.548135 period=initial_fixation block_type=fixation TR=0
FRAME frame=34 time=0.565000 period=initial_fixation block_type=fixation TR=0
FRAME frame=35 time=0.581566 period=initial_fixation block_type=fixation TR=0
FRAME frame=36 time=0.598175 period=initial_fixation block_type=fixation TR=0
FRAME frame=37 time=0.615135 period=initial_fixation block_type=fixation TR=0
FRAME frame=38 time=0.631978 period=initial_fixation block_type=fixation TR=0
FRAME frame=39 time=0.648205 period=initial_fixation block_type=fixation TR=0
FRAME frame=40 time=0.665080 period=initial_fixation block_type=fixation TR=0
FRAME frame=41 time=0.681423 period=initial_fixation block_type=fixation TR=0
FRAME frame=42 time=0.698617 period=initial_fixation block_type=fixation TR=0
FRAME frame=43 time=0.715117 period=initial_fixation block_type=fixation TR=0
FRAME frame=44 time=0.731733 period=initial_fixation block_type=fixation TR=0
FRAME frame=45 time=0.748271 period=initial_fixation block_type=fixation TR=0
FRAME frame=46 time=0.765022 period=initial_fixation block_type=fixation TR=0
FRAME frame=47 time=0.782064 period=initial_fixation block_type=fixation TR=0
FRAME frame=48 time=0.798764 period=initial_fixation block_type=fixation TR=0
FRAME frame=49 time=0.816325 period=initial_fixation block_type=fixation TR=0
FRAME frame=50 time=0.832472 period=initial_fixation block_type=fixation TR=0
FRAME frame=51 time=0.848519 period=initial_fixation block_type=fixation TR=0
FRAME frame=52 time=0.865060 period=initial_fixation block_type=fixation TR=0
FRAME frame=53 time=0.881716 period=initial_fixation block_type=fixation TR=0
FRAME frame=54 time=0.898444 period=initial_fixation block_type=fixation TR=0
FRAME frame=55 time=0.915182 period=initial_fixation block_type=fixation TR=0
FRAME frame=56 time=0.931777 period=initial_fixation block_type=fixation TR=0
FRAME frame=57 time=0.948262 period=initial_fixation block_type=fixation TR=0
FRAME frame=58 time=0.965220 period=initial_fixation block_type=fixation TR=0
FRAME frame=59 time=0.981986 period=initial_fixation block_type=fixation TR=0
FRAME frame=60 time=0.998614 period=initial_fixation block_type=fixation TR=1
FRAME frame=61 time=1.015836 period=initial_fixation block_type=fixation TR=1
FRAME frame=62 time=1.032174 period=initial_fixation block_type=fixation TR=1
FRAME frame=63 time=1.048408 period=initial_fixation block_type=fixation TR=1
FRAME frame=64 time=1.065223 period=initial_fixation block_type=fixation TR=1
FRAME frame=65 time=1.082039 period=initial_fixation block_type=fixation TR=1
FRAME frame=66 time=1.098738 period=initial_fixation block_type=fixation TR=1
FRAME frame=67 time=1.115351 period=initial_fixation block_type=fixation TR=1
FRAME frame=68 time=1.131902 period=initial_fixation block_type=fixation TR=1
FRAME frame=69 time=1.149002 period=initial_fixation block_type=fixation TR=1
FRAME frame=70 time=1.165298 period=initial_fixation block_type=fixation TR=1
FRAME frame=71 time=1.182086 period=initial_fixation block_type=fixation TR=1
FRAME frame=72 time=1.198681 period=initial_fixation block_type=fixation TR=1
FRAME frame=73 time=1.216376 period=initial_fixation block_type=fixation TR=1
FRAME frame=74 time=1.232146 period=initial_fixation block_type=fixation TR=1
FRAME frame=75 time=1.249170 period=initial_fixation block_type=fixation TR=1
FRAME frame=76 time=1.265451 period=initial_fixation block_type=fixation TR=1
FRAME frame=77 time=1.281594 period=initial_fixation block_type=fixation TR=1
FRAME frame=78 time=1.298360 period=initial_fixation block_type=fixation TR=1
FRAME frame=79 time=1.315302 period=initial_fixation block_type=fixation TR=1
FRAME frame=80 time=1.331753 period=initial_fixation block_type=fixation TR=1
FRAME frame=81 time=1.348874 period=initial_fixation block_type=fixation TR=1
FRAME frame=82 time=1.365494 period=initial_fixation block_type=fixation TR=1
FRAME frame=83 time=1.382237 period=initial_fixation block_type=fixation TR=1
FRAME frame=84 time=1.398958 period=initial_fixation block_type=fixation TR=1
FRAME frame=85 time=1.416182 period=initial_fixation block_type=fixation TR=1
FRAME frame=86 time=1.432181 period=initial_fixation block_type=fixation TR=1
FRAME frame=87 time=1.448912 period=initial_fixation block_type=fixation TR=1
FRAME frame=88 time=1.465917 period=initial_fixation block_type=fixation TR=1
FRAME frame=89 time=1.482352 period=initial_fixation block_type=fixation TR=1
FRAME frame=90 time=1.499066 period=initial_fixation block_type=fixation TR=1
FRAME frame=91 time=1.515724 period=initial_fixation block_type=fixation TR=1
FRAME frame=92 time=1.532490 period=initial_fixation block_type=fixation TR=1
FRAME frame=93 time=1.549143 period=initial_fixation block_type=fixation TR=1
FRAME frame=94 time=1.565771 period=initial_fixation block_type=fixation TR=1
