TR=1.0
frate=60.0
sequence=['rest', 'move', 'rest']
block_trs=[5, 5, 5]
instruction_trs=4
initial_fixation_trs=4
trigger_mode=kbd
START_TRIGGER mode=kbd
EXPERIMENT_START time=0.000000
PERIOD_BEGIN name=initial_fixation block_type=fixation TRs=4 frames=240
FRAME frame=0 time=0.001841 period=initial_fixation block_type=fixation TR=0
FRAME frame=1 time=0.004400 period=initial_fixation block_type=fixation TR=0
FRAME frame=2 time=0.014797 period=initial_fixation block_type=fixation TR=0
FRAME frame=3 time=0.032956 period=initial_fixation block_type=fixation TR=0
FRAME frame=4 time=0.049424 period=initial_fixation block_type=fixation TR=0
FRAME frame=5 time=0.065873 period=initial_fixation block_type=fixation TR=0
FRAME frame=6 time=0.085405 period=initial_fixation block_type=fixation TR=0
FRAME frame=7 time=0.099053 period=initial_fixation block_type=fixation TR=0
FRAME frame=8 time=0.115932 period=initial_fixation block_type=fixation TR=0
FRAME frame=9 time=0.132691 period=initial_fixation block_type=fixation TR=0
FRAME frame=10 time=0.149128 period=initial_fixation block_type=fixation TR=0
FRAME frame=11 time=0.165529 period=initial_fixation block_type=fixation TR=0
FRAME frame=12 time=0.182226 period=initial_fixation block_type=fixation TR=0
FRAME frame=13 time=0.198945 period=initial_fixation block_type=fixation TR=0
FRAME frame=14 time=0.215730 period=initial_fixation block_type=fixation TR=0
FRAME frame=15 time=0.232354 period=initial_fixation block_type=fixation TR=0
FRAME frame=16 time=0.249064 period=initial_fixation block_type=fixation TR=0
FRAME frame=17 time=0.266214 period=initial_fixation block_type=fixation TR=0
FRAME frame=18 time=0.282740 period=initial_fixation block_type=fixation TR=0
FRAME frame=19 time=0.299201 period=initial_fixation block_type=fixation TR=0
FRAME frame=20 time=0.315875 period=initial_fixation block_type=fixation TR=0
FRAME frame=21 time=0.332224 period=initial_fixation block_type=fixation TR=0
FRAME frame=22 time=0.348848 period=initial_fixation block_type=fixation TR=0
FRAME frame=23 time=0.365665 period=initial_fixation block_type=fixation TR=0
FRAME frame=24 time=0.382534 period=initial_fixation block_type=fixation TR=0
FRAME frame=25 time=0.399041 period=initial_fixation block_type=fixation TR=0
FRAME frame=26 time=0.415357 period=initial_fixation block_type=fixation TR=0
FRAME frame=27 time=0.432658 period=initial_fixation block_type=fixation TR=0
FRAME frame=28 time=0.449535 period=initial_fixation block_type=fixation TR=0
FRAME frame=29 time=0.466120 period=initial_fixation block_type=fixation TR=0
FRAME frame=30 time=0.482826 period=initial_fixation block_type=fixation TR=0
FRAME frame=31 time=0.499436 period=initial_fixation block_type=fixation TR=0
FRAME frame=32 time=0.516434 period=initial_fixation block_type=fixation TR=0
FRAME frame=33 time=0.532993 period=initial_fixation block_type=fixation TR=0
FRAME frame=34 time=0.549765 period=initial_fixation block_type=fixation TR=0
FRAME frame=35 time=0.566470 period=initial_fixation block_type=fixation TR=0
FRAME frame=36 time=0.582382 period=initial_fixation block_type=fixation TR=0
FRAME frame=37 time=0.599938 period=initial_fixation block_type=fixation TR=0
FRAME frame=38 time=0.616207 period=initial_fixation block_type=fixation TR=0
FRAME frame=39 time=0.632948 period=initial_fixation block_type=fixation TR=0
FRAME frame=40 time=0.649768 period=initial_fixation block_type=fixation TR=0
FRAME frame=41 time=0.666456 period=initial_fixation block_type=fixation TR=0
FRAME frame=42 time=0.683440 period=initial_fixation block_type=fixation TR=0
FRAME frame=43 time=0.699418 period=initial_fixation block_type=fixation TR=0
FRAME frame=44 time=0.716387 period=initial_fixation block_type=fixation TR=0
FRAME frame=45 time=0.733284 period=initial_fixation block_type=fixation TR=0
FRAME frame=46 time=0.750166 period=initial_fixation block_type=fixation TR=0
FRAME frame=47 time=0.766061 period=initial_fixation block_type=fixation TR=0
FRAME frame=48 time=0.782830 period=initial_fixation block_type=fixation TR=0
FRAME frame=49 time=0.799632 period=initial_fixation block_type=fixation TR=0
FRAME frame=50 time=0.816533 period=initial_fixation block_type=fixation TR=0
FRAME frame=51 time=0.832860 period=initial_fixation block_type=fixation TR=0
FRAME frame=52 time=0.849821 period=initial_fixation block_type=fixation TR=0
FRAME frame=53 time=0.866244 period=initial_fixation block_type=fixation TR=0
FRAME frame=54 time=0.883091 period=initial_fixation block_type=fixation TR=0
FRAME frame=55 time=0.900044 period=initial_fixation block_type=fixation TR=0
FRAME frame=56 time=0.916805 period=initial_fixation block_type=fixation TR=0
FRAME frame=57 time=0.933407 period=initial_fixation block_type=fixation TR=0
FRAME frame=58 time=0.950301 period=initial_fixation block_type=fixation TR=0
FRAME frame=59 time=0.967369 period=initial_fixation block_type=fixation TR=0
FRAME frame=60 time=0.983649 period=initial_fixation block_type=fixation TR=1
FRAME frame=61 time=1.000294 period=initial_fixation block_type=fixation TR=1
FRAME frame=62 time=1.016238 period=initial_fixation block_type=fixation TR=1
FRAME frame=63 time=1.033547 period=initial_fixation block_type=fixation TR=1
FRAME frame=64 time=1.050222 period=initial_fixation block_type=fixation TR=1
FRAME frame=65 time=1.066895 period=initial_fixation block_type=fixation TR=1
FRAME frame=66 time=1.083012 period=initial_fixation block_type=fixation TR=1
FRAME frame=67 time=1.100227 period=initial_fixation block_type=fixation TR=1
FRAME frame=68 time=1.116958 period=initial_fixation block_type=fixation TR=1
FRAME frame=69 time=1.132961 period=initial_fixation block_type=fixation TR=1
FRAME frame=70 time=1.149699 period=initial_fixation block_type=fixation TR=1
FRAME frame=71 time=1.166478 period=initial_fixation block_type=fixation TR=1
FRAME frame=72 time=1.183820 period=initial_fixation block_type=fixation TR=1
FRAME frame=73 time=1.200429 period=initial_fixation block_type=fixation TR=1
FRAME frame=74 time=1.216427 period=initial_fixation block_type=fixation TR=1
FRAME frame=75 time=1.233000 period=initial_fixation block_type=fixation TR=1
FRAME frame=76 time=1.249118 period=initial_fixation block_type=fixation TR=1
FRAME frame=77 time=1.266208 period=initial_fixation block_type=fixation TR=1
FRAME frame=78 time=1.282873 period=initial_fixation block_type=fixation TR=1
FRAME frame=79 time=1.299968 period=initial_fixation block_type=fixation TR=1
FRAME frame=80 time=1.316472 period=initial_fixation block_type=fixation TR=1
FRAME frame=81 time=1.333114 period=initial_fixation block_type=fixation TR=1
FRAME frame=82 time=1.350001 period=initial_fixation block_type=fixation TR=1
FRAME frame=83 time=1.366569 period=initial_fixation block_type=fixation TR=1
FRAME frame=84 time=1.383152 period=initial_fixation block_type=fixation TR=1
FRAME frame=85 time=1.399950 period=initial_fixation block_type=fixation TR=1
FRAME frame=86 time=1.416515 period=initial_fixation block_type=fixation TR=1
FRAME frame=87 time=1.433690 period=initial_fixation block_type=fixation TR=1
FRAME frame=88 time=1.450257 period=initial_fixation block_type=fixation TR=1
FRAME frame=89 time=1.467228 period=initial_fixation block_type=fixation TR=1
FRAME frame=90 time=1.483678 period=initial_fixation block_type=fixation TR=1
FRAME frame=91 time=1.500409 period=initial_fixation block_type=fixation TR=1
FRAME frame=92 time=1.516903 period=initial_fixation block_type=fixation TR=1
FRAME frame=93 time=1.533468 period=initial_fixation block_type=fixation TR=1
FRAME frame=94 time=1.550481 period=initial_fixation block_type=fixation TR=1
FRAME frame=95 time=1.567393 period=initial_fixation block_type=fixation TR=1
FRAME frame=96 time=1.583745 period=initial_fixation block_type=fixation TR=1
FRAME frame=97 time=1.599825 period=initial_fixation block_type=fixation TR=1
FRAME frame=98 time=1.617147 period=initial_fixation block_type=fixation TR=1
FRAME frame=99 time=1.634184 period=initial_fixation block_type=fixation TR=1
FRAME frame=100 time=1.650531 period=initial_fixation block_type=fixation TR=1
FRAME frame=101 time=1.667100 period=initial_fixation block_type=fixation TR=1
FRAME frame=102 time=1.683719 period=initial_fixation block_type=fixation TR=1
FRAME frame=103 time=1.700255 period=initial_fixation block_type=fixation TR=1
FRAME frame=104 time=1.717227 period=initial_fixation block_type=fixation TR=1
FRAME frame=105 time=1.733792 period=initial_fixation block_type=fixation TR=1
FRAME frame=106 time=1.750925 period=initial_fixation block_type=fixation TR=1
FRAME frame=107 time=1.767806 period=initial_fixation block_type=fixation TR=1
FRAME frame=108 time=1.784381 period=initial_fixation block_type=fixation TR=1
FRAME frame=109 time=1.800993 period=initial_fixation block_type=fixation TR=1
FRAME frame=110 time=1.817634 period=initial_fixation block_type=fixation TR=1
FRAME frame=111 time=1.834201 period=initial_fixation block_type=fixation TR=1
FRAME frame=112 time=1.850910 period=initial_fixation block_type=fixation TR=1
FRAME frame=113 time=1.867671 period=initial_fixation block_type=fixation TR=1
FRAME frame=114 time=1.884687 period=initial_fixation block_type=fixation TR=1
FRAME frame=115 time=1.900971 period=initial_fixation block_type=fixation TR=1
FRAME frame=116 time=1.917391 period=initial_fixation block_type=fixation TR=1
FRAME frame=117 time=1.934432 period=initial_fixation block_type=fixation TR=1
FRAME frame=118 time=1.951257 period=initial_fixation block_type=fixation TR=1
FRAME frame=119 time=1.968385 period=initial_fixation block_type=fixation TR=1
FRAME frame=120 time=1.984070 period=initial_fixation block_type=fixation TR=2
FRAME frame=121 time=2.000972 period=initial_fixation block_type=fixation TR=2
FRAME frame=122 time=2.017846 period=initial_fixation block_type=fixation TR=2
FRAME frame=123 time=2.034516 period=initial_fixation block_type=fixation TR=2
FRAME frame=124 time=2.050950 period=initial_fixation block_type=fixation TR=2
FRAME frame=125 time=2.067470 period=initial_fixation block_type=fixation TR=2
FRAME frame=126 time=2.084455 period=initial_fixation block_type=fixation TR=2
FRAME frame=127 time=2.101328 period=initial_fixation block_type=fixation TR=2
FRAME frame=128 time=2.117803 period=initial_fixation block_type=fixation TR=2
FRAME frame=129 time=2.134516 period=initial_fixation block_type=fixation TR=2
FRAME frame=130 time=2.151519 period=initial_fixation block_type=fixation TR=2
FRAME frame=131 time=2.167534 period=initial_fixation block_type=fixation TR=2
FRAME frame=132 time=2.184605 period=initial_fixation block_type=fixation TR=2
FRAME frame=133 time=2.201742 period=initial_fixation block_type=fixation TR=2
FRAME frame=134 time=2.218379 period=initial_fixation block_type=fixation TR=2
FRAME frame=135 time=2.234283 period=initial_fixation block_type=fixation TR=2
FRAME frame=136 time=2.251334 period=initial_fixation block_type=fixation TR=2
FRAME frame=137 time=2.268109 period=initial_fixation block_type=fixation TR=2
FRAME frame=138 time=2.284915 period=initial_fixation block_type=fixation TR=2
FRAME frame=139 time=2.301384 period=initial_fixation block_type=fixation TR=2
FRAME frame=140 time=2.318131 period=initial_fixation block_type=fixation TR=2
FRAME frame=141 time=2.334676 period=initial_fixation block_type=fixation TR=2
FRAME frame=142 time=2.351455 period=initial_fixation block_type=fixation TR=2
FRAME frame=143 time=2.368160 period=initial_fixation block_type=fixation TR=2
FRAME frame=144 time=2.384734 period=initial_fixation block_type=fixation TR=2
FRAME frame=145 time=2.401422 period=initial_fixation block_type=fixation TR=2
FRAME frame=146 time=2.418069 period=initial_fixation block_type=fixation TR=2
FRAME frame=147 time=2.434721 period=initial_fixation block_type=fixation TR=2
FRAME frame=148 time=2.451358 period=initial_fixation block_type=fixation TR=2
FRAME frame=149 time=2.468045 period=initial_fixation block_type=fixation TR=2
FRAME frame=150 time=2.484762 period=initial_fixation block_type=fixation TR=2
FRAME frame=151 time=2.501355 period=initial_fixation block_type=fixation TR=2
FRAME frame=152 time=2.518213 period=initial_fixation block_type=fixation TR=2
FRAME frame=153 time=2.534929 period=initial_fixation block_type=fixation TR=2
FRAME frame=154 time=2.551600 period=initial_fixation block_type=fixation TR=2
FRAME frame=155 time=2.568815 period=initial_fixation block_type=fixation TR=2
FRAME frame=156 time=2.585095 period=initial_fixation block_type=fixation TR=2
FRAME frame=157 time=2.601771 period=initial_fixation block_type=fixation TR=2
FRAME frame=158 time=2.618245 period=initial_fixation block_type=fixation TR=2
FRAME frame=159 time=2.635182 period=initial_fixation block_type=fixation TR=2
FRAME frame=160 time=2.651737 period=initial_fixation block_type=fixation TR=2
FRAME frame=161 time=2.668266 period=initial_fixation block_type=fixation TR=2
FRAME frame=162 time=2.684951 period=initial_fixation block_type=fixation TR=2
FRAME frame=163 time=2.701494 period=initial_fixation block_type=fixation TR=2
FRAME frame=164 time=2.718489 period=initial_fixation block_type=fixation TR=2
FRAME frame=165 time=2.735242 period=initial_fixation block_type=fixation TR=2
FRAME frame=166 time=2.751871 period=initial_fixation block_type=fixation TR=2
FRAME frame=167 time=2.768526 period=initial_fixation block_type=fixation TR=2
FRAME frame=168 time=2.785073 period=initial_fixation block_type=fixation TR=2
FRAME frame=169 time=2.801808 period=initial_fixation block_type=fixation TR=2
FRAME frame=170 time=2.818722 period=initial_fixation block_type=fixation TR=2
FRAME frame=171 time=2.835364 period=initial_fixation block_type=fixation TR=2
FRAME frame=172 time=2.851759 period=initial_fixation block_type=fixation TR=2
FRAME frame=173 time=2.868330 period=initial_fixation block_type=fixation TR=2
FRAME frame=174 time=2.885201 period=initial_fixation block_type=fixation TR=2
FRAME frame=175 time=2.901839 period=initial_fixation block_type=fixation TR=2
FRAME frame=176 time=2.918506 period=initial_fixation block_type=fixation TR=2
FRAME frame=177 time=2.935642 period=initial_fixation block_type=fixation TR=2
FRAME frame=178 time=2.951809 period=initial_fixation block_type=fixation TR=2
FRAME frame=179 time=2.968496 period=initial_fixation block_type=fixation TR=2
FRAME frame=180 time=2.985120 period=initial_fixation block_type=fixation TR=3
FRAME frame=181 time=3.001780 period=initial_fixation block_type=fixation TR=3
FRAME frame=182 time=3.018898 period=initial_fixation block_type=fixation TR=3
FRAME frame=183 time=3.035716 period=initial_fixation block_type=fixation TR=3
FRAME frame=184 time=3.052580 period=initial_fixation block_type=fixation TR=3
FRAME frame=185 time=3.068655 period=initial_fixation block_type=fixation TR=3
FRAME frame=186 time=3.085417 period=initial_fixation block_type=fixation TR=3
FRAME frame=187 time=3.102039 period=initial_fixation block_type=fixation TR=3
FRAME frame=188 time=3.118719 period=initial_fixation block_type=fixation TR=3
FRAME frame=189 time=3.135452 period=initial_fixation block_type=fixation TR=3
FRAME frame=190 time=3.152753 period=initial_fixation block_type=fixation TR=3
FRAME frame=191 time=3.169187 period=initial_fixation block_type=fixation TR=3
FRAME frame=192 time=3.185426 period=initial_fixation block_type=fixation TR=3
FRAME frame=193 time=3.201842 period=initial_fixation block_type=fixation TR=3
FRAME frame=194 time=3.218517 period=initial_fixation block_type=fixation TR=3
FRAME frame=195 time=3.235585 period=initial_fixation block_type=fixation TR=3
FRAME frame=196 time=3.252337 period=initial_fixation block_type=fixation TR=3
FRAME frame=197 time=3.268779 period=initial_fixation block_type=fixation TR=3
FRAME frame=198 time=3.285488 period=initial_fixation block_type=fixation TR=3
FRAME frame=199 time=3.302275 period=initial_fixation block_type=fixation TR=3
FRAME frame=200 time=3.318951 period=initial_fixation block_type=fixation TR=3
FRAME frame=201 time=3.335099 period=initial_fixation block_type=fixation TR=3
FRAME frame=202 time=3.351272 period=initial_fixation block_type=fixation TR=3
FRAME frame=203 time=3.368135 period=initial_fixation block_type=fixation TR=3
FRAME frame=204 time=3.384924 period=initial_fixation block_type=fixation TR=3
FRAME frame=205 time=3.402066 period=initial_fixation block_type=fixation TR=3
FRAME frame=206 time=3.418985 period=initial_fixation block_type=fixation TR=3
FRAME frame=207 time=3.435586 period=initial_fixation block_type=fixation TR=3
FRAME frame=208 time=3.452481 period=initial_fixation block_type=fixation TR=3
FRAME frame=209 time=3.468973 period=initial_fixation block_type=fixation TR=3
FRAME frame=210 time=3.485970 period=initial_fixation block_type=fixation TR=3
FRAME frame=211 time=3.502505 period=initial_fixation block_type=fixation TR=3
FRAME frame=212 time=3.519417 period=initial_fixation block_type=fixation TR=3
FRAME frame=213 time=3.535655 period=initial_fixation block_type=fixation TR=3
FRAME frame=214 time=3.553072 period=initial_fixation block_type=fixation TR=3
FRAME frame=215 time=3.569399 period=initial_fixation block_type=fixation TR=3
FRAME frame=216 time=3.585898 period=initial_fixation block_type=fixation TR=3
FRAME frame=217 time=3.602179 period=initial_fixation block_type=fixation TR=3
FRAME frame=218 time=3.619291 period=initial_fixation block_type=fixation TR=3
FRAME frame=219 time=3.636030 period=initial_fixation block_type=fixation TR=3
FRAME frame=220 time=3.652484 period=initial_fixation block_type=fixation TR=3
FRAME frame=221 time=3.669236 period=initial_fixation block_type=fixation TR=3
FRAME frame=222 time=3.685657 period=initial_fixation block_type=fixation TR=3
